"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
350,"Siphonaptera","Hystrichopsyllidae","Atyphloceras","bishopi",NA,"Jordan, 1933","species",0,"Atyphloceras bishopi","NMNH"
351,"Siphonaptera","Hystrichopsyllidae","Atyphloceras","multidentatus","multidentatus","Fox, 1909","subspecies",0,"Atyphloceras multidentatus multidentatus","NMNH"
352,"Siphonaptera","Hystrichopsyllidae","Catallagia","charlottensis",NA,"Baker, 1898","species",0,"Catallagia charlottensis","NMNH"
353,"Siphonaptera","Hystrichopsyllidae","Catallagia","decipiens",NA,"Rothschild, 1915","species",0,"Catallagia decipiens","NMNH"
354,"Siphonaptera","Hystrichopsyllidae","Ctenophthalmus","pseudagyrtes","pseudagyrtes","Baker, 1904","subspecies",0,"Ctenophthalmus pseudagyrtes pseudagyrtes","NMNH"
356,"Siphonaptera","Pulicidae","Euhoplopsyllus","glacialis","lynx","Baker, 1904","subspecies",0,"Euhoplopsyllus glacialis lynx","NMNH"
357,"Siphonaptera","Vermipsyllidae","Chaetopsylla","setosa",NA,"Rothschild, 1906","species",0,"Chaetopsylla setosa","NMNH"
358,"Siphonaptera","Ceratophyllidae","Oropsylla","eatoni",NA,"Hubbard, 1954","species",0,"Oropsylla eatoni","NMNH"
359,"Siphonaptera","Pulicidae","Synosternus","cleopatrae","pyramidis","Rothschild, 1904","subspecies",0,"Synosternus cleopatrae pyramidis","NMNH"
360,"Siphonaptera","Rhopalopsyllidae","Ectinorus","mondacai",NA,"Hastriter, 2001","species",0,"Ectinorus mondacai","NMNH"
361,"Siphonaptera","Malacopsyllidae","Phthiropsylla","agenoris",NA,"","species",0,"Phthiropsylla agenoris","NMNH"
362,"Siphonaptera","Rhopalopsyllidae","Ectinorus","cocyti",NA,"Rothschild, 1904","species",0,"Ectinorus cocyti","NMNH"
363,"Siphonaptera","Rhopalopsyllidae","Tetrapsyllus","corfidii",NA,"Rothschild, 1904","species",0,"Tetrapsyllus corfidii","NMNH"
364,"Siphonaptera","Tungidae","Hectopsylla","cypha",NA,"Jordan, 1942","species",0,"Hectopsylla cypha","NMNH"
365,"Siphonaptera","Ceratophyllidae","Citellophilus","tesquorum",NA,"","species",0,"Citellophilus tesquorum","NMNH"
366,"Siphonaptera","Ceratophyllidae","Oropsylla","montana",NA,"Baker, 1895","species",0,"Oropsylla montana","NMNH"
