"order","family","genus","species","subspecies","author","taxonlevel","canonical","source","id","accid","merge_tag","unique"
"Siphonaptera","Stivaliidae","Afristivalius","afer",NA,"Rothschild, 1908","species","Afristivalius afer","Lewis",29,0,"orig","Lewis0"
"Siphonaptera","Stivaliidae","Afristivalius","azevedoi",NA,"(Ribeiro, 1975)","species","Afristivalius azevedoi","Lewis",30,0,"orig","Lewis0"
"Siphonaptera","Stivaliidae","Afristivalius","curtiductus",NA,"(Smit, 1958)","species","Afristivalius curtiductus","Lewis",31,0,"orig","Lewis0"
"Siphonaptera","Stivaliidae","Afristivalius","fallaciosus",NA,"(Smit, 1958)","species","Afristivalius fallaciosus","Lewis",32,0,"orig","Lewis0"
"Siphonaptera","Stivaliidae","Afristivalius","hartorum",NA,"Beaucournu, Mutumbo & Laudisoit, 2015","species","Afristivalius hartorum","Lewis",33,0,"orig","Lewis0"
"Siphonaptera","Stivaliidae","Afristivalius","nigeriensis",NA,"(Jordan, 1938)","species","Afristivalius nigeriensis","Lewis",34,0,"orig","Lewis0"
"Siphonaptera","Stivaliidae","Afristivalius","parilis",NA,"(Smit, 1958)","species","Afristivalius parilis","Lewis",35,0,"orig","Lewis0"
"Siphonaptera","Stivaliidae","Afristivalius","rahmi",NA,"(Beaucournu, 1970)","species","Afristivalius rahmi","Lewis",36,0,"orig","Lewis0"
"Siphonaptera","Stivaliidae","Afristivalius","richardi",NA,"(Jordan, 1936)","species","Afristivalius richardi","Lewis",37,0,"orig","Lewis0"
"Siphonaptera","Stivaliidae","Afristivalius","sellatus",NA,"(Jordan & Rothschild, 1923)","species","Afristivalius sellatus","Lewis",38,0,"orig","Lewis0"
"Siphonaptera","Stivaliidae","Afristivalius","smitianus",NA,"(Beaucournu, 1967)","species","Afristivalius smitianus","Lewis",39,0,"orig","Lewis0"
"Siphonaptera","Stivaliidae","Afristivalius","timanus",NA,"(Jordan, 1931)","species","Afristivalius timanus","Lewis",40,0,"orig","Lewis0"
"Siphonaptera","Stivaliidae","Afristivalius","torvus",NA,"(Rothschild, 1908)","species","Afristivalius torvus","Lewis",41,0,"orig","Lewis0"
"Siphonaptera","Stivaliidae","Afristivalius","vancanneyti",NA,"(Berteaux, 1947)","species","Afristivalius vancanneyti","Lewis",42,0,"orig","Lewis0"
"Siphonaptera","Ctenophthalmidae","Agastopsylla","guzmani",NA,"Beaucournu, Moreno & González-Acuña, 2011","species","Agastopsylla guzmani","Lewis",43,0,"orig","Lewis0"
"Siphonaptera","Ctenophthalmidae","Agastopsylla","hirsutior",NA,"Traub, 1952","species","Agastopsylla hirsutior","Lewis",44,0,"orig","Lewis0"
"Siphonaptera","Ctenophthalmidae","Agastopsylla","pearsoni",NA,"Traub, 1952","species","Agastopsylla pearsoni","Lewis",45,0,"orig","Lewis0"
"Siphonaptera","Ischnopsyllidae","Alectopsylla","unisetosa",NA,"Mahnert, 1976","species","Alectopsylla unisetosa","Lewis",46,0,"orig","Lewis0"
"Siphonaptera","Ischnopsyllidae","Allopsylla","alloides",NA,"(Smit, 1977)","species","Allopsylla alloides","Lewis",47,0,"orig","Lewis0"
"Siphonaptera","Ischnopsyllidae","Allopsylla","hetera",NA,"Beaucournu & Fain, 1982","species","Allopsylla hetera","Lewis",48,0,"orig","Lewis0"
"Siphonaptera","Ischnopsyllidae","Allopsylla","lobayensis",NA,"Beaucournu & Barrière, 2002","species","Allopsylla lobayensis","Lewis",49,0,"orig","Lewis0"
"Siphonaptera","Ceratophyllidae","Amalaraeus","arvicolae",NA,"(Ioff, 1948)","species","Amalaraeus arvicolae","Lewis",50,0,"orig","Lewis0"
"Siphonaptera","Ceratophyllidae","Amalaraeus","dobbsi",NA,"(Hubbard, 1940)","species","Amalaraeus dobbsi","Lewis",51,0,"orig","Lewis0"
"Siphonaptera","Ceratophyllidae","Amalaraeus","improvisus",NA,"(Ioff, 1946)","species","Amalaraeus improvisus","Lewis",52,0,"orig","Lewis0"
