"id","order","family","genus","species","subspecies","taxonlevel","accid","canonical","source"
436,"Siphonaptera","Ceratophyllidae","Amphalius","spirataenius",NA,"species",0,"Amphalius spirataenius","CoL, GBIF"
102,"Siphonaptera","Ceratophyllidae","Amphalius","spirataenius","badongensis","subspecies",0,"Amphalius spirataenius badongensis","Lewis, CoL, GBIF"
103,"Siphonaptera","Ceratophyllidae","Amphalius","spirataenius","diqingensis","subspecies",0,"Amphalius spirataenius diqingensis","Lewis, CoL, GBIF"
104,"Siphonaptera","Ceratophyllidae","Amphalius","spirataenius","heishuiensis","subspecies",0,"Amphalius spirataenius heishuiensis","Lewis, CoL, GBIF"
105,"Siphonaptera","Ceratophyllidae","Amphalius","spirataenius","mengdaensis","subspecies",0,"Amphalius spirataenius mengdaensis","Lewis"
106,"Siphonaptera","Ceratophyllidae","Amphalius","spirataenius","qinghaiensis","subspecies",0,"Amphalius spirataenius qinghaiensis","Lewis, CoL, GBIF"
107,"Siphonaptera","Ceratophyllidae","Amphalius","spirataenius","spirataenius","subspecies",0,"Amphalius spirataenius spirataenius","Lewis, CoL, GBIF"
439,"Siphonaptera","Ceratophyllidae","Amphalius","tianshanensis",NA,"species",0,"Amphalius tianshanensis","CoL, GBIF"
108,"Siphonaptera","Leptopsyllidae","Amphipsylla","anceps",NA,"species",0,"Amphipsylla anceps","Lewis, CoL, GBIF"
2793,"Siphonaptera","Leptopsyllidae","Amphipsylla","anceps","coangusta","subspecies",108,"Amphipsylla anceps coangusta","Lewis, CoL, GBIF"
109,"Siphonaptera","Leptopsyllidae","Amphipsylla","apiciflata",NA,"species",0,"Amphipsylla apiciflata","Lewis, CoL, GBIF"
110,"Siphonaptera","Leptopsyllidae","Amphipsylla","argoi",NA,"species",0,"Amphipsylla argoi","Lewis, CoL, GBIF"
111,"Siphonaptera","Leptopsyllidae","Amphipsylla","asiatica",NA,"species",0,"Amphipsylla asiatica","Lewis, CoL, GBIF"
112,"Siphonaptera","Leptopsyllidae","Amphipsylla","aspalacis",NA,"species",0,"Amphipsylla aspalacis","Lewis, CoL, GBIF"
